Designator,Mid X,Mid Y,Rotation,Layer
C1,63.5,-143.25,90.0,top
C2,61.25,-125.25,270.0,top
C3,63.25,-108.0,0.0,top
C4,62.0,-115.75,0.0,top
C5,54.0,-109.75,180.0,top
C6,54.356,-95.631,180.0,top
D1,55.0,-143.5,90.0,top
D2,63.75,-129.0,0.0,bottom
D3,62.992,-133.25,0.0,top
D4,60.0,-75.0,180.0,top
D5,60.0,-105.0,180.0,top
D6,60.0,-60.0,0.0,top
J1,65.0,-143.0,180.0,bottom
J2,56.25,-129.25,180.0,top
J3,55.0,-143.0,180.0,bottom
Q1,59.25,-143.25,270.0,top
Q2,68.0,-142.25,0.0,top
Q3,67.75,-125.25,90.0,top
R1,59.75,-147.5,0.0,top
R10,61.341,-100.838,0.0,top
R11,58.25,-55.0,0.0,top
R12,60.96,-70.612,0.0,top
R13,52.5,-137.25,90.0,top
R2,60.0,-139.192,0.0,top
R3,67.75,-146.5,270.0,top
R4,60.0,-136.017,0.0,top
R5,66.929,-133.25,180.0,top
R6,68.75,-136.5,270.0,top
R7,61.722,-129.286,270.0,top
R8,67.75,-115.75,0.0,top
R9,52.451,-83.185,90.0,top
RV1,57.5,-82.5,270.0,bottom
RV2,57.5,-97.5,270.0,bottom
RV3,57.5,-52.5,270.0,bottom
RV4,57.5,-67.5,270.0,bottom
U1,65.0,-120.5,180.0,top
U2,65.0,-112.0,180.0,top
